#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9

#if an entry is missing, it is considered to be blank
#if any delimiters are missing, all entries from that point on are blank
#some entries may have embedded HTML code

003|catechetical-letter-01_2015+first-things+god-he-who-is-the-trinity|Catechetical Letter 01|First Things|God He Who Is The Trinity|2015|Catechetical Letter 01|0000||0000|||||||||||||||Catechetical Letter 01|||||||
124|fv_2018+the-priesthood+ordination-of-father-nicholas|Full Voice|The Priesthood|Ordination Of Father Nicholas|2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
125|fv_2018+to-a-person-who-was-chrismated-and-is-being-told-to-be-baptized|Full Voice|To A Person Who Was Chrismated And Is Being Told To Be Baptized||2018|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
126|fv_2018-03-01+forgive-forget-move-on+forgiving-is-not-a-formula|Full Voice|Forgive Forget Move On|Forgiving Is Not A Formula|2018-03-01|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
127|fv_2019+almsgiving-prayer-kindness_sirach3-40|Full Voice|Almsgiving Prayer Kindness||2019|A Priest should speak with a full voice|0000||0000|Sirach 3-40||||||||||||||A Priest should speak with a full voice|||||||
128|fv_2019+divine-liturgy–-the-one-thing-needful-any-other-time-is-like-dying|Full Voice|Divine Liturgy– The One Thing Needful Any Other Time Is Like Dying||2019|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
129|fv_2019+when-prison-ministry-meets-the-promises-of-scripture|Full Voice|When Prison Ministry Meets The Promises Of Scripture||2019|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
130|fv_2019-08-12+ists-and-isms|Full Voice|Ists And Isms||2019-08-12|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
131|fv_2020+psalm-55-a-messianic-psalm-that-is-also-about-how-to-confront-our-thoughts-and-passions|Full Voice|Psalm 55 A Messianic Psalm That Is Also About How To Confront Our Thoughts And Passions||2020|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
132|fv_2020-01-05+the-path-to-freedom+the-world-does-not-understand_psalm18-18-20|Full Voice|The Path To Freedom|The World Does Not Understand|2020-01-05|A Priest should speak with a full voice|0000||0000|Psalm 18-18-20||||||||||||||A Priest should speak with a full voice|||||||
133|fv_2020-01-31+when-a-loved-one-dies-all-we-have-left-is-everything|Full Voice|||2020-01-31|A Priest should speak with a full voice|0000||0000||||||||||Many people &quot;are stuck&quot; in their grief. This very short essay draws on my experience of intense grief, and how it will transform us. I do not want anyone to be stuck in their grief, so that they think they &quot;have nothing left&quot;||Many people &quot;are stuck&quot; in their grief. This very short essay draws on my experience of intense grief, and how it will transform us. I do not want anyone to be stuck in their grief, so that they think they &quot;have nothing left&quot;|When a loved one dies, &quot;all we have left&quot;, is EVERYTHING.||grief|death|A Priest should speak with a full voice|||||
134|fv_2020-02-07+weeping-and-rejoicing_psalm 29-5|Full Voice|Weeping And Rejoicing||2020-02-07|A Priest should speak with a full voice|0000||0000|Psalm 29-5||||||||||||||A Priest should speak with a full voice|||||||
135|fv_2020-02-07+weeping-and-rejoicing_psalm29-5|Full Voice|Weeping And Rejoicing||2020-02-07|A Priest should speak with a full voice|0000||0000|Psalm 29-5||||||||||||||A Priest should speak with a full voice|||||||
145|prison-ministry-letters_2011-03-04+how-to-think-about-personal-intercessory-prayer-praying-for-enemies-the-jesus-prayer|Prison Ministry|||2011-03-04|Prison Ministry|0000|Letter to prisoner|0001||||||||||Letter to prisoners. Topics: How to think about personal intercessory prayer. Christian Life Skills: Praying for others. Praying for enemies, The Jesus Prayer. To pray for someone more diligently||Letter to prisoners. Topics: How to think about personal intercessory prayer. Christian Life Skills: Praying for others. Praying for enemies, The Jesus Prayer. To pray for someone more diligently|Letter to prisoners. Topics: How to think about personal intercessory prayer. Christian Life Skills: Praying for others. Praying for enemies, The Jesus Prayer. To pray for someone more diligently||A Priest should speak with a full voice:Letter to prisoner|||||||
146|prison-ministry-letters_2011-12-07+nativity-fast-st-john-chrysostom-on-true-fasting-gleanings-from-the-holy-fathers-on-fasting|Prison Ministry|||2011-12-07|Prison Ministry|0000|Letter to prisoner|0001||||||||||Letter to Prisoners. Topics: The Nativity fast, St John Chrysostom on true fasting, Gleanings for the Holy Fathers - Fasting||Letter to Prisoners. Topics: The Nativity fast, St John Chrysostom on true fasting, Gleanings for the Holy Fathers - Fasting|Letter to Prisoners. Topics: The Nativity fast, St John Chrysostom on true fasting, Gleanings for the Holy Fathers - Fasting||A Priest should speak with a full voice:Letter to prisoner|||||||
147|prison-ministry-letters_2011-12-24+jesus-prayer-short-and-ecletic-teaching-about-baptism|Prison Ministry|||2011-12-24|Prison Ministry|0000|Letter to prisoner|0001||||||||||The Jesus Prayer.<br >A short and ecletic teaching about baptism<br >Baptism - to immerse<br >Scripture and baptism<br >An Entry into the Church<br >The Gift of the Holy Spirit<br >The Sacrament (Mystery) of Christian Baptism<br >St Cyprian of Carthage<br >Address at the Baptism of AP<br >After baptism ....	<br >||The Jesus Prayer.<br >A short and ecletic teaching about baptism<br >Baptism - to immerse<br >Scripture and baptism<br >An Entry into the Church<br >The Gift of the Holy Spirit<br >The Sacrament (Mystery) of Christian Baptism<br >St Cyprian of Carthage<br >Address at the Baptism of AP<br >After baptism ....	<br >|Letter to prisoners. The Jesus Prayer. Baptism. ||A Priest should speak with a full voice:Letter to prisoner|||||||
148|prison-ministry-letters_2011-12-24+nativity-fast-st-john-chrysostom-on-true-fasting-gleanings-from-the-holy-fathers-on-fasting|Prison Ministry|Nativity Fast St John Chrysostom On True Fasting Gleanings From The Holy Fathers On Fasting||2011-12-24|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
149|prison-ministry-letters_2014-10-11+the-one-thing-needful-theotokos-empathically-stating-incarnation-protection-of-the-mother-of-god|Prison Ministry|||2014-10-11|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||Letter to Prisoners. The one thing needful. The word Theotokos empathically states the incarnation. Protection of the Mother of God||A Priest should speak with a full voice:Letter to prisoner|||||||
150|prison-ministry-letters_2014-10-25+prayer-then-was-jesus-led-up-by-the-spirit-into-the-wilderness-why-memorize-scripture-darkness-and-light-our-salvation-is-very-near-on-fasting|Prison Ministry|||2014-10-25|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||A letter to prisoners, covering a multitude of topics: The Most important Stuff - Prayer, then Prayer, then Prayer.<br > Prayer of St Ephrem to the Saints for intercession<br >St Ephrem - Psalm 27 - Do NOT LOSE HEART. There is hope AND IT IS CHRIST.<br >Then was Jesus led up by the Spirit into the Wilderness<br >Why Memorize Scripture?<br >Darkness and Light<br > Our Salvation is very near.<br > On Fasting||A letter to prisoners, covering a multitude of topics: The Most important Stuff - Prayer, then Prayer, then Prayer.<br > Prayer of St Ephrem to the Saints for intercession<br >St Ephrem - Psalm 27 - Do NOT LOSE HEART. There is hope AND IT IS CHRIST.<br >Then was Jesus led up by the Spirit into the Wilderness<br >Why Memorize Scripture?<br >Darkness and Light<br > Our Salvation is very near.<br > On Fasting|Letter to prisoners: The Most important Stuff - Prayer, then Prayer, then Prayer, and a lot more. ||A Priest should speak with a full voice:Letter to prisoner|||||||
151|prison-ministry-letters_2014-10-30+commentary-on-scripture_matthew-05|Prison Ministry|Commentary On Scripture||2014-10-30|Prison Ministry|0000|Letter to prisoner|0001|Matthew-05||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
152|prison-ministry-letters_2014-10-30+communion-of-saints-lucian-longinus-hosea-sermon-on-the-mount-beatitudes_matthew5-1-12|Prison Ministry|||2014-10-30|Prison Ministry|0000|Letter to prisoner|0001|Matthew 5:1-12|||txt|||||||||Letter to Prisoners: The Communion of the Saints.  Hieromartyr Lucian of Antioch  Longinus the Centurion, who stood at the cross  Holy Prophet Hosea  The Sermon on the Mount  The Beatitudes ||A Priest should speak with a full voice:Letter to prisoner|||||||
153|prison-ministry-letters_2014-12-13+thy-will-be-done-as-in-heaven,-so-in-earth+the-nativity-fast_luke11-2|Prison Ministry|Thy Will Be Done As In Heaven, So In Earth|The Nativity Fast|2014-12-13|Prison Ministry|0000|Letter to prisoner|0001|Luke 11-2||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
154|prison-ministry-letters_2015-01-12+12-days-of-christmas-how-to-celebrate-a-feast-gleanings-from-the-fathers-on-nativity|Prison Ministry|||2015-01-12|Prison Ministry|0000|Letter to prisoner|0001||||||||||A letter sent to inmates of a Texas prison. The main topic was how Orthodox celebrate feasts, and the Twelve days of Christmas, plus some gleanings from the Holy Fathers on Nativity.||A letter sent to inmates of a Texas prison. The main topic was how Orthodox celebrate feasts, and the Twelve days of Christmas, plus some gleanings from the Holy Fathers on Nativity.| Christ is born! Twelve Days of Christmas. Gleanings for the Holy Fathers - Nativity||A Priest should speak with a full voice:Letter to prisoner|||||||
155|prison-ministry-letters_2015-02-19+great-lent|Prison Ministry|Great Lent||2015-02-19|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
156|prison-ministry-letters_2015-02-21+purpose-of-great-lent-forgiveness-sunday-we-are-going-to-do-violence-now-why-do-we-fast|Prison Ministry|||2015-02-21|Prison Ministry|0000|Letter to prisoner|0001||||txt|||||||||Purpose of Great Lent. Forgiveness Sunday. We are going to do violence now. Why do we fast? Pastoral Letter to Prisoners.||A Priest should speak with a full voice:Letter to prisoner|||||||
157|prison-ministry-letters_2015-02-26+purpose-of-great-lent+prayer-of-st-ephrem-explained|Prison Ministry|Purpose Of Great Lent|Prayer Of St Ephrem Explained|2015-02-26|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
158|prison-ministry-letters_2015-04-09+excerpts-from-letters+purpose-of-life-confessing-the-same-stuff-life-is-simple|Prison Ministry|||2015-04-09|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Excerpts from letters to prisoners. Holy Week, 2015<br > The Purpose of Life<br >  The Image and likeness of God<br >  Confessing the same stuff over and over.<br >  FIGHT!<br >  Why were Zacharias and Elizabeth childless?<br >  Life is simple.<br >  A New Commandment<br >  Troubles and the Medicine of Immortality<br >  Fighting Thoughts<br >  Behold the man! What is truth! Holy Week - Holy Friday - At the tomb John 18:38; John 19:5  ||Excerpts from letters to prisoners. Holy Week, 2015<br > The Purpose of Life<br >  The Image and likeness of God<br >  Confessing the same stuff over and over.<br >  FIGHT!<br >  Why were Zacharias and Elizabeth childless?<br >  Life is simple.<br >  A New Commandment<br >  Troubles and the Medicine of Immortality<br >  Fighting Thoughts<br >  Behold the man! What is truth! Holy Week - Holy Friday - At the tomb John 18:38; John 19:5  |Excerpts from letters to prisoners. Holy Week, 2015. The Purpose of Life & The Image and likeness of God	. Confessing the same stuff over and over. FIGHT!	||A Priest should speak with a full voice:Letter to prisoner|||||||
159|prison-ministry-letters_2015-06-23+letter-to-prisoners+most-important-life-skill-o-heavenly-king-the-jesus-prayer|Prison Ministry|||2015-06-23|Prison Ministry|0000|Letter to prisoner|0001||||txt|||||||||Letter to prisoners. The Most important life skill. O Heavenly King. The Jesus Prayer. ||A Priest should speak with a full voice:Letter to prisoner|||||||
160|prison-ministry-letters_2015-07-09+hindrances-to-prayer+how-to-pray-for-others|Prison Ministry|||2015-07-09|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||Letter to prisoners: Hindrances to prayer. How to pray for others. ||A Priest should speak with a full voice:Letter to prisoner|||||||
161|prison-ministry-letters_2015-07-09+praying-for-the-dead+when-things-are-hard|Prison Ministry|||2015-07-09|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||Letter to prisoners. Praying for the Dead. When things are hard. ||A Priest should speak with a full voice:Letter to prisoner|||||||
162|prison-ministry-letters_2015-07-14+god-is-holy+exclamations-of-the-priest|Prison Ministry|God Is Holy|Exclamations Of The Priest|2015-07-14|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
163|prison-ministry-letters_2015-07-18+impatience-anger-prayer|Prison Ministry|||2015-07-18|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||Letter to a prisoner: Impatienmce, anger, prayer||A Priest should speak with a full voice:Letter to prisoner|||||||
164|prison-ministry-letters_2015-09-23+catechumen-service-exorcisms-renunciations-affirmations-the-creed-disposition|Prison Ministry|||2015-09-23|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||A letter written when on a spiritual retreat on a ranch in Indian Creek, Almost heaven, West Texas... I am preparing several men for baptism. Important information about the Catechumen service, the exorcisms. Why the Creed is important. Our disposition determines everything||A letter written when on a spiritual retreat on a ranch in Indian Creek, Almost heaven, West Texas... I am preparing several men for baptism. Important information about the Catechumen service, the exorcisms. Why the Creed is important. Our disposition determines everything|Letter to Prisoners. Catechumen service explained. Exorcisms, Renunciations, Affirmations, The Creed. Disposition||A Priest should speak with a full voice:Letter to prisoner|||||||
165|prison-ministry-letters_2015-09-30+prison-ministry-update|Prison Ministry|Prison Ministry Update||2015-09-30|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Taken from a letter to a prison ministry donor, an exposition of our Prison Ministry philosophy and comprehensive update of our present status. ||Taken from a letter to a prison ministry donor, an exposition of our Prison Ministry philosophy and comprehensive update of our present status. |Prison Ministry Update. 90% of life is just showing up. Whatever crosses  your path.||A Priest should speak with a full voice:Letter to prisoner|||||||
166|prison-ministry-letters_2015-10-10+baptism+fire-in-the-belly|Prison Ministry|Baptism|Fire In The Belly|2015-10-10|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
167|prison-ministry-letters_2015-10-10+solomon-the-stars|Prison Ministry|Solomon The Stars||2015-10-10|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
168|prison-ministry-letters_2015-10-19+what-is-sin+confession-of-sins-is-a-skill|Prison Ministry|||2015-10-19|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Letter written to prepare a person for reception into the church. What is sin? Confession of sins is a skill. ||Letter written to prepare a person for reception into the church. What is sin? Confession of sins is a skill.|What is sin? Confession of sins is a skill. ||A Priest should speak with a full voice:Letter to prisoner|||||||
169|prison-ministry-letters_2015-10-23+oil-of-gladness+chrism|Prison Ministry|Oil Of Gladness|Chrism|2015-10-23|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
170|prison-ministry-letters_2015-10-23+prayer-for-our-children+hard-thoughts-during-prayer|Prison Ministry|Prayer For Our Children|Hard Thoughts During Prayer|2015-10-23|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
171|prison-ministry-letters_2015-10-26+confession-before-baptism|Prison Ministry|Confession Before Baptism||2015-10-26|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
172|prison-ministry-letters_2015-11-07+baptism+except-a-man-be-born-of-water-and-of-the-spirit|Prison Ministry|||2015-11-07|Prison Ministry|0000|Letter to prisoner|0001||||txt|||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
173|prison-ministry-letters_2015-12-18+prayer-for-others+prayer-for-the-whole-world|Prison Ministry|Prayer For Others|Prayer For The Whole World|2015-12-18|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
174|prison-ministry-letters_2016-01-21+prayer-during-liturgy+theophany-saint-seraphim|Prison Ministry|Prayer During Liturgy|Theophany Saint Seraphim|2016-01-21|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
175|prison-ministry-letters_2016-01-29+3-letters-from-prisoners-about-how-Orthodoxy-has-influenced-them|Prison Ministry|||2016-01-29|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Three letters written by prisoners about how the Orthodox prison ministry has influenced them. Also a letter to a prisoner that is mundane in details but illustrates and important point: most of our ministry is just communication (90% of life is just showing up, or in the case of prison ministry, writing and showing up)! We finish with some gleanings from the Holy Fathers, which are usually at the end of each letter.||Three letters written by prisoners about how the Orthodox prison ministry has influenced them. Also a letter to a prisoner that is mundane in details but illustrates and important point: most of our ministry is just communication (90% of life is just showing up, or in the case of prison ministry, writing and showing up)! We finish with some gleanings from the Holy Fathers, which are usually at the end of each letter.|Three letters from prisoners about how Orthodoxy has influenced them.||A Priest should speak with a full voice:Letter to prisoner|||||||
176|prison-ministry-letters_2016-01-29+3-letters-from-prisoners-about-how-orthodoxy-has-influenced-them|Prison Ministry|||2016-01-29|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Three letters written by prisoners about how the Orthodox prison ministry has influenced them. Also a letter to a prisoner that is mundane in details but illustrates and important point: most of our ministry is just communication (90% of life is just showing up, or in the case of prison ministry, writing and showing up)! We finish with some gleanings from the Holy Fathers, which are usually at the end of each letter.||Three letters written by prisoners about how the Orthodox prison ministry has influenced them. Also a letter to a prisoner that is mundane in details but illustrates and important point: most of our ministry is just communication (90% of life is just showing up, or in the case of prison ministry, writing and showing up)! We finish with some gleanings from the Holy Fathers, which are usually at the end of each letter.|Three letters from prisoners about how Orthodoxy has influenced them.||A Priest should speak with a full voice:Letter to prisoner|||||||
177|prison-ministry-letters_2016-02-04+anger-prayer-and-dynamite|Prison Ministry|||2016-02-04|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Letter written to a prisoner about anger. There is a technique to control that works. Explaining it involves prayer, and dynamite. ||Letter written to a prisoner about anger. There is a technique to control that works. Explaining it involves prayer, and dynamite.|Anger, prayer and dynamite! How to lengthen the fuse. Letter to a prisoner. ||A Priest should speak with a full voice:Letter to prisoner|||||||
178|prison-ministry-letters_2016-03-03+purpose-of-great-lent+prayer-of-st-ephrem-explained-presanctified-liturgy|Prison Ministry|Purpose Of Great Lent|Prayer Of St Ephrem Explained Presanctified Liturgy|2016-03-03|Prison Ministry|0000|Letter to prisoner|0001||||txt|||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
179|prison-ministry-letters_2016-04-04+what-is-a-catechumen+the-symbol-of-faith|Prison Ministry|||2016-04-04|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||Letter to a prisoner. Answering questions from his sister. ||Letter to a prisoner. Answering questions from his sister.|What is a catechumen? The Symbol of Faith. A question for all Christians who believe in the Bible and the Holy Trinity||A Priest should speak with a full voice:Letter to prisoner|||||||
180|prison-ministry-letters_2016-04-08+how-to-fight-bad-thoughts|Prison Ministry|||2016-04-08|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||A letter to a prisoner, addressing his personal concerns and also discussing how to battle bad thoughts and how meanness and abuse is a great temptation for a Christian. Also some catechetical questions.||A letter to a prisoner, addressing his personal concerns and also discussing how to battle bad thoughts and how meanness and abuse is a great temptation for a Christian. Also some catechetical questions.|Depression, hopelessness, helplessness. How to fight our thoughts. Catechetical Questions. Letter to a prisoner||A Priest should speak with a full voice:Letter to prisoner|||||||
181|prison-ministry-letters_2016-04-18+coarseness-of-life-the-unhappiness-of-prison-and-prayer+mary-of-egypt-shows-us-how-to-repent|Prison Ministry|||2016-04-18|Prison Ministry|0000|Letter to prisoner|0001||||txt|||||||||Letter to a prisoner. Coarseness of life, the unhappiness of prison, and prayer. Mary of Egypt Shows Us How to Repent. How to Cultivate a Repentant Spirit||A Priest should speak with a full voice:Letter to prisoner|||||||
182|prison-ministry-letters_2016-04-23+depression-in-prison-life-is-how-you-think+pascha|Prison Ministry|Depression In Prison Life Is How You Think|Pascha|2016-04-23|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
183|prison-ministry-letters_2016-05-09+antipascha-christ-is-risen+catechetical-letters|Prison Ministry|Antipascha Christ Is Risen|Catechetical Letters|2016-05-09|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
184|prison-ministry-letters_2016-05-12+parable-laborers-in-the-vineyard-and-two-sons+no-regrets-in-paradise-catechetical-letter-1|Prison Ministry|||2016-05-12|Prison Ministry|0000|Letter to prisoner|0001||||||||||Letter to a prisoner. Parable of the laborers in the Vineyard. No regrets in paradise.||Letter to a prisoner. Parable of the laborers in the Vineyard. No regrets in paradise.|Parables explained. No regrets in Paradise. ||A Priest should speak with a full voice:Letter to prisoner|||||||
185|prison-ministry-letters_2016-05-12+parables-laboeres-in-the-vineyard+parable-two-sons|Prison Ministry|Parables Laboeres In The Vineyard|Parable Two Sons|2016-05-12|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
186|prison-ministry-letters_2016-05-12+why-omit-o-heavenly-king-ministry-at-pascha-ministry-of-holy-spirit+symbol-of-faith-introduction|Prison Ministry|||2016-05-12|Prison Ministry|0000|Letter to prisoner|0001||||||||||Letter to a prisoner: Why do we omit &nbsp;O Heavenly King&nbsp; from Pascha until Pentecost? What is the ministry of the Holy Spirit? The Symbol of Faith - Introduction. Introductory Questions about the symbol of Faith.||Letter to a prisoner: Why do we omit &nbsp;O Heavenly King&nbsp; from Pascha until Pentecost? What is the ministry of the Holy Spirit? The Symbol of Faith - Introduction. Introductory Questions about the symbol of Faith|Why do we omit &nbsp;O Heavenly King&nbsp; from Pascha until Pentecost? The symbol of Faith||A Priest should speak with a full voice:Letter to prisoner|||||||
187|prison-ministry-letters_2016-08-05+archangel-michael-7-archangels-angelic-ranks-about-angels-prayers-to-michael-and-angels-miracle-at-chonae|Prison Ministry|Archangel Michael 7 Archangels Angelic Ranks About Angels Prayers To Michael And Angels Miracle At Chonae||2016-08-05|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
188|prison-ministry-letters_2016-08-19+abandonment-parable-of-the-good-samaritan-transfiguration-sermon-transfiguration-questions|Prison Ministry|Letter to a prisoner.||2016-08-19|Prison Ministry|0000|Letter to prisoner|0001|Luke 10:25-37 Wisdom 15:1-3 Wisdom 14: 12|||||||||Letter to a prisoner. When a person feels abandoned by God. Parable of the Good - Samaritan. The sin of Onan and wishful thinking. Transfiguration - Human nature in the Midst of the Divine||Letter to a prisoner. When a person feels abandoned by God. Parable of the Good - Samaritan. The sin of Onan and wishful thinking. Transfiguration - Human nature in the Midst of the Divine|When a person feels abandoned by God. Parable of the Good - Samaritan. The sin of Onan and wishful thinking. Transfiguration. ||A Priest should speak with a full voice:Letter to prisoner|||||||
189|prison-ministry-letters_2016-09-06+what-to-do-when-we-feel-separated|Prison Ministry|||2016-09-06|Prison Ministry|0000|Letter to prisoner|0001||||||||||Letter to a prisoner. What do we do when we feel separated, abandoned, lonely? Prayer for others, and for the dead. The Prayer of the Trisagion (Liturgy of Saint James), Prayer of St Silouan of Mount Athos:, To pray for someone more diligently:,Prayer is a painful and bloody struggle. By Elder Ephraim of Katounakia. ,Elder Ephraim of Katounakia on the Priesthood,Two Kinds of Gladness,stuff from Elder Porphyrios,From the Talmud,Misc memes with NB quotes. ||Letter to a prisoner. What do we do when we feel separated, abandoned, lonely? Prayer for others, and for the dead. The Prayer of the Trisagion (Liturgy of Saint James), Prayer of St Silouan of Mount Athos:, To pray for someone more diligently:,Prayer is a painful and bloody struggle. By Elder Ephraim of Katounakia. ,Elder Ephraim of Katounakia on the Priesthood,Two Kinds of Gladness,stuff from Elder Porphyrios,From the Talmud,Misc memes with NB quotes. |What should we do when we feel separated, lonely, abandoned? ||A Priest should speak with a full voice:Letter to prisoner|||||||
190|prison-ministry-letters_2016-09-29+homosexuality-in-context|Prison Ministry|Homosexuality In Context||2016-09-29|Prison Ministry|0000|Letter to prisoner|0001|||||||||||||||A Priest should speak with a full voice:Letter to prisoner|||||||
191|prison-ministry-letters_201609-29+about-complaining-about-our-problems|Prison Ministry|||2016-09-29|Prison Ministry|0000|Letter to prisoner|0001||||txt||||||A little bit about complaining about our problems, and the ONLY way to stop doing it. Part of a letter to a prisoner. ||A little bit about complaining about our problems, and the ONLY way to stop doing it. Part of a letter to a prisoner.|About complaining about our problems.||A Priest should speak with a full voice:Letter to prisoner|||||||
192|prison-ministry-visits_2013-11-06+prison-visit+racism-and-prayer|Prison Ministry|||2013-11-06|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||I hope that you will be as edified as I was by this report about racism and prayer, from a conversation in a prison ministry visit. They give more than they get!||I hope that you will be as edified as I was by this report about racism and prayer, from a conversation in a prison ministry visit. They give more than they get!|Prison visit Report:Racism and prayer. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
193|prison-ministry-visits_2013-11-09+i-have-said-these-things-to-you-in-order-that-whenever-the-hour-should-come_john16-4-john16-12|Prison Ministry|||2013-11-09|Prison Ministry|0000|Prison Visit Reports|0002|John 16:4 John 16:12||||mp3|||||A jailhouse talk about what hinders prayer and remembrance, and the promise of our Lord that will comfort us. Prison is a lot like the world except more intense more potential for violence, and there are not many breaks. It is always noisy, there is drama all the time. Schedules are crazy and disorienting, and in addition, you have your own thoughts and a lot of time to have them. this is a difficult environment to pray and have remembrance of God. How?! If we do something for the love of God it will never be fruitless. We may not remember, but God always remembers, and will call things to our remembrance as we need them. Our Lord Jesus Christ gives us great consolation in the promise &quot;These things have I told you, that when the time shall come, ye may remember that I told you of them&quot; (John 16:4) and &quot;I have yet many things to say unto you, but ye cannot bear them now.&quot; (John 16:12)||A jailhouse talk about what hinders prayer and remembrance, and the promise of our Lord that will comfort us. Prison is a lot like the world except more intense more potential for violence, and there are not many breaks. It is always noisy, there is drama all the time. Schedules are crazy and disorienting, and in addition, you have your own thoughts and a lot of time to have them. this is a difficult environment to pray and have remembrance of God. How?! If we do something for the love of God it will never be fruitless. We may not remember, but God always remembers, and will call things to our remembrance as we need them. Our Lord Jesus Christ gives us great consolation in the promise &quot;These things have I told you, that when the time shall come, ye may remember that I told you of them&quot; (John 16:4) and &quot;I have yet many things to say unto you, but ye cannot bear them now.&quot; (John 16:12)|Jailhouse talk about prayer and remembrance. &quot;These things have I told you, that when the time shall come, ye may remember that I told you of them&quot; (John 16:4) &quot;I have yet many things to say unto you, but ye cannot bear them now.&quot; (John 16:12)||A Priest should speak with a full voice:Prison Visit Reports|||||||
